UID,Density
Qal,1880
Qf,1880
Ql,1880
Qls,1900
Qmw,1900
Qp,1880
Qw,1880
Qob,1880
Qpf,2000
Qpff,2000
Qpfn,2000
Qpfnc,2000
Qpfnf,2000
Qpoc,2000
Qpog,2000
Qpogt,2000
Qpon,2000
Qponc,2000
Qgpc,1880
Qcg,1880
Qva,1920
Qvi,1880
Qvlc,2000
Qvr,1880
Qvrl,1880
Qvrlb,1880
Qvrlbt,1880
Qvrlf,1880
Qvrlj,1880
Qvel,1880
Qvrlr,1880
Qvrlt,1880
Qvt,1880
Qga,1920
Qga(t),1920
Qgt,1880
Qgo,1880
Qgu,1880
